disease_focused,assay_importance,parent_compound_chembl_id,parent_compound_specificity,assay_chembl_id,assay_cluster,target_chembl_id,target_uniprot_ids,OT_uniprot_id,OT_symbol,OT_overall_score
AML,2,CHEMBL384467,acceptable,CHEMBL2394817,999,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL2394919,999,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL576982,specific,CHEMBL4031448,998,CHEMBL1936,"['B5A956', 'D5LXN2', 'D5M931', 'F5H8F8', 'P10721', 'Q6IQ28', 'Q99662', 'Q9UM99']",P10721,['KIT'],0.7412150034664634
AML,2,CHEMBL384467,acceptable,CHEMBL3868160,997,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL384467,acceptable,CHEMBL3868172,997,CHEMBL206,"['P03372', 'Q13511', 'Q14276', 'Q5T5H7', 'Q6MZQ9', 'Q9NU51', 'Q9UDZ7', 'Q9UIS7']",P03372,['ESR1'],0.2955134261390977
AML,2,CHEMBL384467,acceptable,CHEMBL3868170,997,CHEMBL1871,"['A0A0B4J1T2', 'A2RUN2', 'B1AKD7', 'C0JKD3', 'C0JKD4', 'E7EVX6', 'P10275', 'Q9UD95']",P10275,['AR'],0.286913064101323
AML,2,CHEMBL384467,acceptable,CHEMBL3868169,997,CHEMBL208,"['A7LQ08', 'A7X8B0', 'B4E3T0', 'P06401', 'Q8TDS3', 'Q9UPF7']",P06401,['PGR'],0.0421298013528913
AML,2,CHEMBL384467,acceptable,CHEMBL3868173,997,CHEMBL242,"['A8K8K5', 'G3V5M5', 'O60608', 'O60685', 'O60702', 'O60703', 'O75583', 'O75584', 'Q0MWT5', 'Q0MWT6', 'Q86Z31', 'Q92731', 'Q9UEV6', 'Q9UHD3', 'Q9UQK9']",Q92731,['ESR2'],0.0246051290922893
AML,2,CHEMBL576982,specific,CHEMBL4031447,996,CHEMBL2041,"['A8K6Z2', 'P07949', 'Q15250', 'Q9BTB0', 'Q9H4A2']",P07949,['RET'],0.4645679216730559
AML,2,CHEMBL576982,specific,CHEMBL4031446,994,CHEMBL1913,"['B5A957', 'P09619', 'Q8N5L4']",P09619,['PDGFRB'],0.6591249431432462
AML,2,CHEMBL576982,specific,CHEMBL4031445,994,CHEMBL2007,"['B2RE69', 'E9PBH0', 'P16234', 'Q6P4H5', 'Q96KZ7', 'Q9UD28']",P16234,['PDGFRA'],0.6357487492748144
AML,2,CHEMBL576982,specific,CHEMBL4031449,994,CHEMBL1844,"['B5A955', 'D3DQG2', 'P07333', 'Q6LDW5', 'Q6LDY4', 'Q86VW7']",P07333,['CSF1R'],0.4396301537199248
AML,2,CHEMBL576982,specific,CHEMBL4031444,994,CHEMBL1955,"['A8K6L4', 'B5A926', 'P35916', 'Q16067', 'Q86W07', 'Q86W08']",P35916,['FLT4'],0.4287435613452183
AML,2,CHEMBL576982,specific,CHEMBL4031450,994,CHEMBL1868,"['A3E342', 'A3E344', 'A8KA71', 'B0LPF1', 'B2BF46', 'B2BF47', 'B2BF48', 'B3FR89', 'B5A923', 'F5H5L6', 'O60722', 'P16057', 'P17948', 'Q12954']",P17948,['FLT1'],0.3586431714365745
AML,2,CHEMBL576982,specific,CHEMBL4031443,994,CHEMBL5122,"['Q16832', 'Q7Z730']",Q16832,['DDR2'],0.2868760960919251
AML,2,CHEMBL576982,specific,CHEMBL4031442,994,CHEMBL5319,"['B5A975', 'B5A976', 'B7Z2K0', 'Q08345', 'Q14196', 'Q16562', 'Q2L6H3', 'Q4LE50', 'Q5ST11', 'Q5ST12', 'Q6NSK4', 'Q9UD35', 'Q9UD36', 'Q9UD37', 'Q9UD86', 'Q9UDL2']",Q08345,['DDR1'],0.0361247297048926
AML,2,CHEMBL384467,acceptable,CHEMBL4341379,993,CHEMBL2034,"['A0ZXF9', 'B0LPG8', 'D3DQF4', 'F5ATB7', 'P04150', 'P04151', 'Q53EP5', 'Q6N0A4']",P04150,['NR3C1'],0.4249963348393475
AML,2,CHEMBL576982,specific,CHEMBL5152919,991,CHEMBL5464,"['A0AV89', 'B2RAG1', 'B4E3F9', 'Q13180', 'Q13546', 'Q59H33']",Q13546,['RIPK1'],0.0989014669578919
AML,2,CHEMBL576982,specific,CHEMBL4478323,990,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478330,990,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478324,989,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478325,989,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478326,989,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478327,989,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
AML,2,CHEMBL576982,specific,CHEMBL4478328,989,CHEMBL1974,"['A0AVG9', 'B7ZLT7', 'B7ZLT8', 'F5H0A0', 'P36888', 'Q13414']",P36888,['FLT3'],0.821081847621124
